* Disclaimer:
* THIS FILE IS PROVIDED AS IS AND WITH:
* (A) NO WARRANTY OF ANY KIND, express, implied or statutory, including any implied warranties of merchantability, fitness for a particular purpose and noninfringement, which  Infineon disclaims to the maximum extent permitted by applicable law; and
* (B) NO INDEMNIFICATION FOR INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS.
* (C) LIMITATION OF LIABILITY: IN NO EVENT SHALL INFINEON BE LIABLE FOR ANY DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES (INCLUDING LOST PROFITS OR SAVINGS) WHATSOEVER, WHETHER BASED ON CONTRACT, TORT OR ANY OTHER LEGAL THEORY, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.
* © 2020 Infineon Technologies AG. All rights reserved.

* Note:
* The CMOS transistor models used, were freely available models downloaded from: http://ptm.asu.edu.
* The bipolar transistor models are from: The Development of Bipolar Log-Domain Filters in a Standard CMOS Process, G. D. Duerden, G. W. Roberts, M. J. Deen, 2001

* Release:
* 	version 2.0

Tag,Net,path-port,device,terminal
TAG	,	Net	,	Path	,	Device	,	Terminal
G_118	,	net015	,	DUT.I10.I22.ntrans27:g	,	nreg	,	g
G_119	,	net09	,	DUT.I10.I22.ptrans23:g	,	preg	,	g
G_120	,	net09	,	DUT.I10.I22.ntrans26:g	,	nreg	,	g
G_121	,	net09	,	DUT.I10.I23.ptrans10:g	,	preg	,	g
G_122	,	net09	,	DUT.I10.I23.ntrans11:g	,	nreg	,	g
G_123	,	DUT.net082	,	DUT.I10.I150.M81:g	,	preg	,	g
G_124	,	DUT.net082	,	DUT.I10.I150.M80:g	,	preg	,	g
G_125	,	DUT.net082	,	DUT.I10.I150.M83:g	,	nreg	,	g
G_126	,	DUT.net082	,	DUT.I10.I150.M82:g	,	nreg	,	g
G_127	,	DUT.divout	,	DUT.I19.M81:g	,	preg	,	g
G_128	,	DUT.divout	,	DUT.I19.M80:g	,	preg	,	g
G_129	,	DUT.divout	,	DUT.I19.M83:g	,	nreg	,	g
G_130	,	DUT.divout	,	DUT.I19.M82:g	,	nreg	,	g
G_131	,	DUT.oscout	,	DUT.I12.M81:g	,	preg	,	g
G_132	,	DUT.oscout	,	DUT.I12.M80:g	,	preg	,	g
G_133	,	DUT.oscout	,	DUT.I12.M83:g	,	nreg	,	g
G_134	,	DUT.oscout	,	DUT.I12.M82:g	,	nreg	,	g
G_135	,	DUT.net06	,	DUT.I12.M90:g	,	preg	,	g
G_136	,	DUT.net06	,	DUT.I12.M91:g	,	nreg	,	g
G_137	,	DUT.net06	,	DUT.I52.ptrans10:g	,	preg	,	g
G_138	,	DUT.net06	,	DUT.I52.ntrans11:g	,	nreg	,	g
G_139	,	DUT.oscoutb	,	DUT.I67.M81:g	,	preg	,	g
G_140	,	DUT.oscoutb	,	DUT.I67.M80:g	,	preg	,	g
G_141	,	DUT.oscoutb	,	DUT.I67.M83:g	,	nreg	,	g
G_142	,	DUT.oscoutb	,	DUT.I67.M82:g	,	nreg	,	g
G_143	,	DUT.net057	,	DUT.I67.M90:g	,	preg	,	g
G_144	,	DUT.net057	,	DUT.I67.M91:g	,	nreg	,	g
G_145	,	DUT.net057	,	DUT.I68.ptrans10:g	,	preg	,	g
G_146	,	DUT.net057	,	DUT.I68.ntrans11:g	,	nreg	,	g
G_147	,	DUT.net020	,	DUT.I17.M90:g	,	preg	,	g
G_148	,	DUT.net020	,	DUT.I17.M91:g	,	nreg	,	g
G_149	,	DUT.net020	,	DUT.I55.ptrans10:g	,	preg	,	g
G_150	,	DUT.net020	,	DUT.I55.ntrans11:g	,	nreg	,	g
G_151	,	DUT.net021	,	DUT.I19.M90:g	,	preg	,	g
G_152	,	DUT.net021	,	DUT.I19.M91:g	,	nreg	,	g
G_153	,	DUT.net021	,	DUT.I45.ptrans10:g	,	preg	,	g
G_154	,	DUT.net021	,	DUT.I45.ntrans11:g	,	nreg	,	g
G_155	,	DUT.div	,	DUT.I14.I0.M123:g	,	preg	,	g
G_156	,	DUT.div	,	DUT.I14.I0.M119:g	,	preg	,	g
G_157	,	DUT.div	,	DUT.I14.I0.M48:g	,	preg	,	g
